Rank,Name,8-Year Graduation Rate,Number of Pell Graduates,Pell Performance Rank,Earnings Performance Rank,Net Price of Attendance for Families Below $75k Income,Social Mobility Rank,Research Rank,Service Rank,Admission Rate,Enrollment,Share of White Students,In-State Tuition Fee,Out-of-State Tuition Fee,Median Earnings of Students,Note: 
146,Penn State University (PA)*,69%,3288,318,216,22463,268,39,162,,,,14052.0,22914.0,61185.0,
147,Gonzaga University (WA),85%,224,393,126,23379,170,203,93,0.7615,4962.0,0.6796,48470.0,48470.0,76325.0,
148,Jackson State University (MS)*,44%,637,9,178,15564,122,205,215,0.7634,6992.0,0.626,11120.0,20840.0,41504.0,
149,University at Buffalo (NY)*,72%,1381,109,247,16213,128,64,362,0.7009,21303.0,0.4643,10782.0,28702.0,65856.0,
150,University of Oregon (OR)*,73%,1135,221,157,14233,118,111,301,,783.0,0.6169,,,97826.0,
151,University of the Cumberlands (KY),60%,539,104,113,13390,79,418,334,,,,,,,No data found
152,University of Tennessee (TN)*,71%,1204,70,377,14189,247,73,72,0.7915,8186.0,0.8322,9802.0,19834.0,45397.0,
153,Santa Clara University (CA),91%,184,339,20,24964,93,195,335,0.5398,5887.0,0.4201,55860.0,55860.0,99012.0,
154,CA State University–East Bay (CA)*,67%,1407,62,80,10380,50,295,422,0.8236,12047.0,0.1489,6995.0,18875.0,64188.0,
155,OK State University–Main (OK)*,63%,1100,241,223,9886,199,132,87,0.9412,3541.0,0.6329,7913.0,15023.0,45817.0,
156,Stony Brook University (NY)*,75%,1237,13,434,13270,149,74,323,0.4806,17900.0,0.2892,10455.0,28375.0,70686.0,
157,Duquesne University (PA),80%,245,397,46,24865,184,214,63,0.8426,5071.0,0.8109,43526.0,43526.0,71826.0,
158,Clemson University (SC)*,82%,679,358,271,16776,235,93,74,0.4922,21577.0,0.7811,15558.0,38550.0,69479.0,
159,University of Colorado–Boulder (CO)*,69%,882,328,302,15411,266,56,106,0.7958,30414.0,0.6797,12496.0,38314.0,65273.0,
160,Univ. of MD–Baltimore County (MD)*,68%,671,74,393,10829,163,135,178,,,,,,,No data found
161,Brandeis University (MA),89%,177,187,412,16360,204,48,273,0.3914,3577.0,0.4356,60006.0,60006.0,73676.0,
162,Valdosta State University (GA)*,44%,655,50,89,12531,133,373,167,0.7637,8421.0,0.4193,6583.0,17638.0,46357.0,
163,Arizona State. Univ.–Digital (AZ)*,50%,791,154,9,12659,41,437,434,0.7021,42511.0,0.5583,,,58967.0,
164,University of Wyoming (WY)*,60%,421,211,197,7394,194,147,103,0.9678,8700.0,0.7729,6277.0,20827.0,53303.0,
165,Western Carolina University (NC)*,65%,706,215,296,11408,154,389,121,0.7942,9980.0,0.7749,4367.0,8367.0,44755.0,
166,College of Saint Scholastica (MN),73%,232,159,136,19913,155,319,130,0.7369,2134.0,0.8102,39410.0,39410.0,61672.0,
167,Northern Arizona University (AZ)*,60%,1810,199,194,11467,150,189,212,0.7835,23772.0,0.5602,11896.0,26642.0,50118.0,
168,University of Vermont (VT)*,76%,438,365,340,14060,231,102,96,0.7539,1320.0,0.7402,12804.0,26892.0,44323.0,
169,University of Mass.–Dartmouth (MA)*,55%,471,213,190,17211,245,207,29,0.9222,5618.0,0.586,14408.0,30153.0,55113.0,
170,LA State Univ.–Baton Rouge (LA)*,68%,926,338,125,13942,205,104,151,,,,,,,No data found
171,University of Nebraska–Lincoln (NE)*,67%,810,251,277,13838,250,78,109,0.8107,19448.0,0.7599,9872.0,27002.0,55689.0,
172,Thomas Jefferson University (PA),76%,279,158,40,20396,113,150,345,0.7809,3727.0,0.5377,43116.0,43116.0,71676.0,
173,Prairie View A&M University (TX)*,45%,609,31,127,13498,151,362,189,,,,,,,No data found
174,University of Nebraska–Omaha (NE)*,51%,618,143,54,11766,157,294,181,0.8725,12010.0,0.6212,8136.0,21718.0,51972.0,
175,Simmons College (MA),80%,103,287,327,20960,209,279,51,0.5765,163.0,0.0123,16390.0,16390.0,,
176,Purdue University Global (IN)*,29%,2218,59,177,-4247,95,434,347,,32213.0,0.5687,10125.0,14436.0,32704.0,
177,Stockton University (NJ)*,76%,659,129,346,15330,141,335,225,0.8454,8359.0,0.6101,14885.0,22467.0,54393.0,
178,Univ. of MA–Boston (MA)*,57%,959,46,316,15095,153,170,258,0.803,563.0,0.8419,18050.0,18050.0,45876.0,
179,Ball State University (IN)*,63%,961,242,85,10805,148,249,238,0.6817,13896.0,0.7581,10290.0,27524.0,49177.0,
180,Temple University (PA)*,73%,1882,125,363,19324,216,118,152,0.7233,25596.0,0.5354,17378.0,30602.0,60306.0,
181,Kean University (NJ)*,59%,1006,246,84,15899,120,409,281,0.7916,10291.0,0.2815,12595.0,19771.0,52714.0,
182,IN Univ.-Purdue U.–Indianapolis (IN)*,51%,957,177,242,7985,225,164,101,,,,6714.0,6714.0,68414.0,
183,University of NH–Main (NH)*,78%,596,349,169,17869,146,145,328,,49093.0,0.2616,2160.0,6168.0,41926.0,
184,University of West Georgia (GA)*,48%,764,248,132,15143,173,391,143,0.697,8572.0,0.4729,6521.0,17576.0,47080.0,
185,CUNY City College (NY)*,53%,1193,22,285,2039,75,148,436,0.825,13490.0,0.101,7320.0,15270.0,47242.0,
186,Drake University (IA),79%,128,180,79,25034,261,213,37,0.6907,2857.0,0.7322,45912.0,45912.0,73451.0,
187,University of OK–Norman (OK)*,65%,946,175,124,17527,201,103,231,0.8523,20800.0,0.5898,12012.0,27816.0,59648.0,
188,Univ. of SC–Columbia (SC)*,74%,1232,340,382,16036,277,109,71,,,,,,72316.0,
189,Pepperdine University (CA),84%,218,331,106,30393,181,247,168,0.5271,3706.0,0.4649,59702.0,59702.0,78224.0,
190,Oakland City University (IN),66%,42,441,291,9377,55,425,438,0.7262,584.0,0.5634,25740.0,25740.0,40917.0,
191,University of Kansas (KS)*,65%,767,181,165,15962,293,85,80,0.925,18427.0,0.6988,11166.0,28034.0,58993.0,
192,Saint Mary's Univ. of MN (MN),68%,148,230,120,15680,147,276,275,0.8175,2009.0,0.5236,44750.0,44750.0,61492.0,
193,Ferris State University (MI)*,58%,940,341,26,9457,90,406,399,0.8477,8810.0,0.7627,12740.0,12740.0,53019.0,
194,Seattle University (WA),78%,250,293,233,27768,260,220,46,0.8212,4233.0,0.369,49335.0,49335.0,73484.0,
195,Southern IL Univ.–Carbondale (IL)*,54%,1071,276,61,13609,280,161,43,0.9515,7973.0,0.6661,15240.0,15240.0,50562.0,
196,Georgia Southern University (GA)*,52%,1591,222,81,14007,144,343,278,0.9051,22404.0,0.5674,6485.0,17539.0,50829.0,
197,St. Catherine University (MN),60%,235,94,200,16504,234,368,54,0.7489,2546.0,0.5452,46494.0,46494.0,54838.0,
198,Univ. of the Sciences (PA),74%,104,224,2,30083,116,233,364,,,,,,,No data found
199,Eastern Michigan University (MI)*,52%,1285,273,182,14163,223,289,104,0.8461,12344.0,0.5971,15700.0,15700.0,47087.0,
200,Elon University (NC),84%,121,435,60,26603,191,236,198,0.7771,6302.0,0.7988,38725.0,38725.0,66617.0,
201,University of Kentucky (KY)*,64%,893,170,184,13677,241,75,255,0.9835,10987.0,0.8186,9752.0,20024.0,42134.0,
202,University of Colorado–Denver (CO)*,51%,602,404,160,11832,162,149,321,0.7205,11042.0,0.4221,9384.0,26376.0,60077.0,
203,University of Southern MS (MS)*,51%,965,16,168,13192,224,168,160,,559.0,0.3059,,,110178.0,
204,University of Nevada–Reno (NV)*,59%,816,265,287,12907,275,116,111,0.8816,16274.0,0.5285,8588.0,24680.0,59167.0,
205,Maryville Univ. of Saint Louis (MO),59%,176,132,71,22983,117,422,353,0.9154,5627.0,0.6415,27166.0,27166.0,55969.0,
206,Fairfield University (CT),81%,114,434,8,27553,159,215,298,0.5581,4548.0,0.7852,52870.0,52870.0,95393.0,
207,Texas State Univ.–San Marcos (TX)*,61%,2169,279,183,12572,132,200,368,0.6999,33175.0,0.4097,11135.0,22559.0,53885.0,
208,University of Houston (TX)*,60%,2378,26,409,11229,131,91,424,,149.0,0.0671,14910.0,14910.0,36578.0,
209,Grand Valley State University (MI)*,66%,1347,256,218,12546,172,264,263,0.9165,19239.0,0.8127,13560.0,19296.0,53292.0,
210,University of Northern CO (CO)*,54%,609,382,86,13197,263,228,85,0.8579,7812.0,0.8434,9053.0,19753.0,51651.0,
211,Grand Canyon University (AZ),40%,3686,97,265,19046,165,433,254,0.8284,64210.0,0.4855,17800.0,17800.0,38385.0,
212,Univ. of NC–Wilmington (NC)*,72%,897,233,344,15386,187,273,239,0.684,2384.0,0.6393,42206.0,42206.0,57787.0,
213,University of AL at Birmingham (AL)*,57%,716,38,398,15215,321,83,86,0.8854,13284.0,0.5297,8568.0,20400.0,50907.0,
214,Kennesaw State University (GA)*,49%,1830,184,219,16309,208,386,161,0.8159,37743.0,0.478,6436.0,17690.0,54321.0,
215,Texas Tech University (TX)*,63%,1419,367,147,12619,185,110,349,0.6786,32414.0,0.5499,11852.0,24122.0,60456.0,
216,Cleveland State University (OH)*,52%,904,55,259,14889,244,210,131,0.9129,10208.0,0.6273,11690.0,16653.0,49935.0,
217,Mercer University (GA),61%,379,29,406,18444,306,193,39,0.7541,4699.0,0.4588,38746.0,38746.0,52487.0,
218,University of Mississippi (MS)*,64%,1043,285,324,10174,286,167,78,0.8966,15994.0,0.7754,9044.0,25886.0,50510.0,
219,Northern Illinois University (IL)*,58%,1243,307,123,13314,251,188,129,0.7045,11819.0,0.4575,12478.0,12478.0,55380.0,
220,University of MO–St. Louis (MO)*,58%,755,377,306,8735,222,275,165,0.6989,5376.0,0.604,9058.0,21158.0,44507.0,
221,Azusa Pacific University (CA),69%,494,280,175,23909,190,218,268,,1363.0,0.2069,10800.0,10800.0,,
222,Mary Baldwin University (VA),38%,102,24,254,16287,309,316,30,,1458.0,0.5117,31140.0,31140.0,39605.0,
223,Oakland University (MI)*,57%,872,317,140,9169,171,252,300,0.9209,13538.0,0.7091,13934.0,24708.0,55645.0,
224,Case Western Reserve Univ. (OH),85%,195,171,418,18830,302,38,338,0.3024,5697.0,0.399,54532.0,54532.0,81346.0,
225,Marshall University (WV)*,51%,580,186,139,6589,195,311,234,,,,,,,
226,Kansas State University (KS)*,62%,835,223,275,15175,297,107,126,0.9561,15372.0,0.7959,10420.0,26491.0,54472.0,
227,Texas Wesleyan University (TX),45%,138,128,104,21073,178,337,272,0.5753,1454.0,0.2503,34412.0,34412.0,50920.0,
228,Indiana State University (IN)*,45%,692,163,109,11748,296,385,38,0.9368,7653.0,0.7104,9598.0,20862.0,45531.0,
229,University of La Verne (CA),64%,581,167,161,24732,189,396,235,0.7194,3686.0,0.1744,45850.0,45850.0,62629.0,
230,Univ. of TN–Chattanooga (TN)*,50%,593,105,321,10945,284,278,56,,,,,,,No data found
231,Idaho State University (ID)*,52%,2335,343,230,16053,164,270,332,,6842.0,0.7306,7872.0,25326.0,45062.0,
232,Montana State University (MT)*,55%,629,353,365,17384,376,130,10,,2818.0,0.7747,6022.0,19352.0,41907.0,
233,Morgan State University (MD)*,46%,435,284,118,15151,207,209,251,0.871,7027.0,0.0102,8008.0,18479.0,46092.0,
234,Clarke University (IA),64%,72,165,322,21734,237,320,147,0.8878,702.0,0.6011,36870.0,36870.0,50541.0,
235,Alabama State University (AL)*,33%,416,1,93,15510,142,315,371,0.9799,3495.0,0.0152,11068.0,19396.0,34018.0,
236,University of St. Thomas (MN),75%,255,283,150,27615,273,262,105,0.7086,1797.0,0.1013,32940.0,32940.0,55391.0,
237,Southern IL Univ.–Edwardsville (IL)*,54%,626,210,90,9961,242,348,148,0.9807,9903.0,0.7012,12219.0,12219.0,54293.0,
238,University of Pikeville (KY),55%,389,63,174,13991,174,437,288,,210.0,0.6095,10354.0,10354.0,24950.0,
239,University of North Dakota (ND)*,52%,376,422,36,13497,267,166,164,0.9546,9932.0,0.8662,10601.0,15076.0,58936.0,
240,Middle Tennessee State Univ. (TN)*,49%,1390,89,249,10808,212,277,233,0.684,17713.0,0.6536,9232.0,28264.0,46693.0,
241,Southern Univ./A&M College (LA)*,39%,389,112,253,16250,218,285,226,0.5888,5178.0,0.012,9842.0,17192.0,41443.0,
242,Suffolk University (MA),62%,370,392,208,27129,333,299,24,0.8803,4187.0,0.5004,41648.0,41648.0,65950.0,
243,Tarleton State University (TX)*,58%,856,380,171,17435,228,371,184,0.5681,11666.0,0.6408,7790.0,17582.0,49993.0,
244,MO State Univ.–Springfield (MO)*,57%,773,263,185,13820,256,369,125,0.9385,14210.0,0.8044,8294.0,16498.0,47850.0,
245,Wayne State University (MI)*,47%,1157,75,334,12240,298,114,157,0.6326,16530.0,0.5475,14043.0,30013.0,48752.0,
246,Carson-Newman College (TN),52%,128,39,220,15810,289,321,75,,,,,,,No data found
247,University of Hawaii–Manoa (HI)*,63%,877,296,431,11751,303,94,195,0.6998,13839.0,0.1957,12186.0,34218.0,56055.0,
248,Central Michigan University (MI)*,61%,1189,316,99,13003,176,231,344,0.7708,11323.0,0.7614,13200.0,13200.0,52440.0,
249,University of Mass.–Lowell (MA)*,61%,705,155,369,12518,233,182,242,0.8457,12546.0,0.5559,15698.0,33624.0,65324.0,
250,University of Denver (CO),75%,223,257,337,22506,300,198,94,0.7205,11042.0,0.4221,9384.0,26376.0,60077.0,
251,Rowan University (NJ)*,75%,731,236,180,20423,177,244,342,0.8377,14925.0,0.6529,14376.0,23408.0,56115.0,
252,University of Louisville (KY)*,54%,769,229,268,14872,323,146,64,0.7469,13815.0,0.6699,12370.0,28716.0,51380.0,
253,University of Alaska–Fairbanks (AK)*,34%,100,425,75,8260,214,143,327,0.6469,4108.0,0.5241,7248.0,21384.0,46150.0,
254,SUNY Envir. Science & Forestry (NY)*,79%,109,308,440,16390,279,187,156,0.6532,1576.0,0.7773,9206.0,19966.0,53274.0,
255,Miami University–Oxford (OH)*,80%,497,330,352,17957,232,201,249,0.886,16868.0,0.7867,16704.0,37379.0,55590.0,
256,Barry University (FL),48%,405,217,195,17187,253,287,170,0.6369,2932.0,0.1241,31540.0,31540.0,54203.0,
257,Auburn University (AL)*,77%,634,327,364,20107,316,113,133,0.968,3742.0,0.4129,8860.0,18820.0,43743.0,
258,Tennessee State University (TN)*,41%,554,135,193,11657,215,238,280,0.874,9768.0,0.7641,9438.0,12740.0,42563.0,
259,Saint Louis University–Main (MO),70%,334,231,227,20569,320,152,91,,,,,,,No data found
260,University of Texas–Tyler (TX)*,54%,432,134,241,8298,135,398,409,0.9388,6752.0,0.5218,9596.0,25142.0,52674.0,
261,D'Youville College,62%,118,325,146,16594,183,424,315,,,,,,,No data found
262,University of WI–Milwaukee (WI)*,49%,1015,240,229,14082,288,179,159,0.6798,14161.0,0.7808,7238.0,21303.0,52560.0,
263,Eastern Kentucky University (KY)*,49%,835,96,137,12412,249,324,188,0.9835,10987.0,0.8186,9752.0,20024.0,42134.0,
264,Wichita State University (KS)*,50%,527,93,246,12551,271,250,185,,2305.0,0.5302,5963.0,6875.0,40438.0,
265,Adelphi University (NY),73%,416,355,122,26842,299,291,108,0.7746,5168.0,0.4565,42475.0,42475.0,70089.0,
266,University of Lynchburg (VA),63%,146,347,235,19731,318,292,62,0.9687,1614.0,0.7416,33500.0,33500.0,50248.0,
267,Bradley University (IL),76%,250,278,73,19181,166,260,394,0.7586,4319.0,0.671,36360.0,36360.0,66315.0,
268,Loyola Marymount University (CA),82%,299,385,326,31741,362,256,25,0.4582,6999.0,0.4243,53526.0,53526.0,71771.0,
269,Ohio University–Main (OH)*,66%,1036,291,309,18684,308,186,127,,58.0,0.6724,8200.0,8200.0,36605.0,
270,DePaul University (IL),69%,1206,149,143,27086,243,245,261,0.6944,14059.0,0.4952,42012.0,42012.0,67245.0,
271,Western Michigan University (MI)*,60%,1160,332,176,15640,272,202,219,,,,,,55121.0,
272,Regent University (VA),37%,142,30,94,17936,140,411,415,0.4071,4246.0,0.4948,18820.0,18820.0,44160.0,
273,University of Michigan–Flint (MI)*,50%,453,232,263,9500,259,230,240,0.7386,4372.0,0.7054,12750.0,24974.0,47757.0,
274,University of Maine (ME)*,58%,506,192,387,14316,332,144,107,,3020.0,0.8192,8378.0,19238.0,39258.0,
275,Univ. of Wisconsin–La Crosse (WI)*,69%,393,389,243,10923,217,251,316,0.7385,9230.0,0.8946,9195.0,18014.0,57125.0,
276,Gannon University (PA),65%,154,384,96,18446,258,358,228,0.8359,2681.0,0.6949,34526.0,34526.0,57091.0,
277,Saint John Fisher College (NY),77%,234,375,292,22111,269,302,223,,,,,,,No data found
278,Catholic University of America (DC),74%,92,438,49,26425,326,156,124,0.8601,2891.0,0.671,52156.0,52156.0,76452.0,
279,Wilkes University (PA),61%,147,168,102,24849,322,300,90,0.9477,2134.0,0.7198,39914.0,39914.0,61498.0,
280,Univ. of Wisconsin–Oshkosh (WI)*,58%,549,437,78,12180,179,395,374,0.8989,8419.0,0.8014,7733.0,15306.0,51418.0,
281,Bowling Green State Univ. (OH)*,60%,891,391,154,14993,310,216,144,,1138.0,0.7381,5776.0,13765.0,46918.0,
282,Worcester Polytechnic Institute (MA),89%,148,336,47,33620,238,97,393,0.6021,5134.0,0.6455,55731.0,55731.0,100193.0,
283,Stevens Institute of Technology (NJ),85%,129,102,53,27604,206,142,400,0.5269,4053.0,0.5149,56920.0,56920.0,104918.0,
284,Yeshiva University (NY),81%,108,399,319,26925,330,63,279,0.627,2583.0,0.5923,47500.0,47500.0,67963.0,
285,Arkansas State Univ. (AR)*,52%,685,119,354,12245,334,364,52,,1163.0,0.6733,2856.0,4320.0,39065.0,
286,Lincoln Memorial University (TN),60%,103,85,288,13040,230,405,294,0.699,1575.0,0.7937,24210.0,24210.0,44726.0,
287,Daemen College (NY),63%,164,286,92,13041,278,377,208,,,,,,,No data found
288,Aurora University (IL),64%,318,124,224,14378,186,407,383,0.8642,4076.0,0.4316,26760.0,26760.0,53159.0,
289,Baker University (KS),61%,115,300,56,20059,167,334,412,0.9906,1206.0,0.6551,31700.0,31700.0,60914.0,
290,Wingate University (NC),54%,133,216,91,17178,229,383,308,0.8453,2480.0,0.473,40170.0,40170.0,51262.0,
291,Fordham University (NY),79%,388,253,186,26118,264,158,326,0.583,9669.0,0.5255,56161.0,56161.0,78820.0,
292,Mississippi State University (MS)*,61%,1000,144,389,14370,380,125,58,0.7861,1316.0,0.0152,7068.0,7068.0,30324.0,
